ts,price,size,side,tradeId,instId,channel,type,ts_recv
1749565475974,15.08,9.9502,buy,1316338502140899377,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960208
1749565475974,15.08,9.9502,buy,1316338502140899375,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960223
1749565475974,15.08,9.9502,buy,1316338502140899373,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960227
1749565475974,15.08,0.3000,buy,1316338502140899371,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960229
1749565474251,15.08,0.1000,buy,1316338494914113537,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960230
1749565473383,15.08,154.5781,buy,1316338491273457670,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960232
1749565469223,15.08,0.3647,buy,1316338473825153071,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960234
1749565462232,15.07,1.3188,sell,1316338444502773774,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960236
1749565461750,15.08,0.2150,buy,1316338442481119241,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960237
1749565459837,15.07,1.2961,sell,1316338434457415840,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960239
1749565457903,15.07,3.1671,sell,1316338426345631745,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960240
1749565456646,15.07,1.4641,sell,1316338421073391617,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960241
1749565455363,15.07,1.1891,sell,1316338415692099776,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960251
1749565454310,15.07,1.4333,sell,1316338411275497472,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960253
1749565452912,15.07,0.7327,sell,1316338405411860481,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960254
1749565451969,15.07,2.8041,sell,1316338401456631813,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960256
1749565450346,15.07,0.7075,sell,1316338394649276489,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960257
1749565449539,15.07,11.0302,sell,1316338391264473091,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960259
1749565448158,15.07,0.4322,sell,1316338385472139360,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960260
1749565447035,15.07,2.6969,sell,1316338380761936004,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960262
1749565445686,15.07,0.4231,sell,1316338375103819825,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960263
1749565445593,15.07,0.4000,buy,1316338374713749506,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960265
1749565444607,15.06,2.6394,sell,1316338370578165763,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960266
1749565443573,15.07,138.1386,buy,1316338366241255425,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960267
1749565443073,15.06,0.8276,sell,1316338364144103429,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960269
1749565442062,15.06,2.6015,sell,1316338359903662082,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960270
1749565440509,15.06,3.2550,sell,1316338353389908122,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960272
1749565440124,15.06,0.4199,sell,1316338351775101049,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960273
1749565437913,15.06,0.7999,sell,1316338342501494784,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960275
1749565437400,15.06,0.4110,sell,1316338340349816835,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960276
1749565436476,15.06,9.0000,buy,1316338336474280034,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960277
1749565436476,15.06,9.0000,buy,1316338336474280032,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960279
1749565436476,15.06,9.0000,buy,1316338336474280030,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960282
1749565436476,15.06,0.4000,buy,1316338336474280028,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960284
1749565435507,15.05,0.7814,sell,1316338332409999491,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960285
1749565435023,15.05,0.8033,sell,1316338330379956227,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960287
1749565433324,15.05,1.0075,sell,1316338323253833729,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960288
1749565432964,15.05,0.7680,sell,1316338321743884327,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960289
1749565432557,15.05,3.1610,sell,1316338320036802565,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960291
1749565430884,15.05,1.9704,sell,1316338313019731973,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960292
1749565430160,15.05,0.7710,sell,1316338309983055905,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960293
1749565428453,15.05,7.7624,sell,1316338302823378946,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960295
1749565427697,15.05,0.7547,sell,1316338299652485174,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960296
1749565425903,15.05,1.8925,sell,1316338292127903747,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960298
1749565425267,15.05,0.7454,sell,1316338289460326490,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960299
1749565424436,15.05,0.4273,sell,1316338285974859777,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960301
1749565423409,15.05,1.8687,sell,1316338281667309607,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960302
1749565422624,15.05,0.4410,sell,1316338278374781073,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960304
1749565421803,15.05,0.4178,sell,1316338274931257441,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960305
1749565420827,15.05,1.8392,sell,1316338270837616643,LINKUSDT,trade,SPOT,2025-06-10T21:24:46.960307
1749565487730,0.2932,542.4855,buy,1316338551449137182,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558277
1749565487115,0.2931,284.3582,sell,1316338548869640193,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558288
1749565486298,0.2932,383.1633,buy,1316338545442893867,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558290
1749565485684,0.2932,368.8736,buy,1316338542867591172,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558291
1749565485219,0.2931,297.8556,sell,1316338540917239809,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558292
1749565484456,0.2932,198.2349,buy,1316338537716985857,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558294
1749565483593,0.2932,500.1429,buy,1316338534097301580,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558295
1749565482980,0.2932,3542.7040,buy,1316338531526193156,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558296
1749565482980,0.2932,46.6773,buy,1316338531526193154,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558297
1749565482128,0.2931,264.9059,sell,1316338527952646145,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558299
1749565480961,0.2931,397.0438,sell,1316338523057893378,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558300
1749565480147,0.2932,226.7313,buy,1316338519643729921,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558301
1749565479434,0.2931,233.7891,sell,1316338516653191170,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558302
1749565479224,0.2931,153.4377,sell,1316338515772387331,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558304
1749565477959,0.2932,468.9226,buy,1316338510466592769,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558305
1749565476893,0.2932,244.7279,buy,1316338505995464706,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558306
1749565475877,0.2931,307.9620,sell,1316338501734051841,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558307
1749565474963,0.2931,352.0442,sell,1316338497900457985,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558308
1749565473896,0.2931,306.5001,sell,1316338493425135627,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558309
1749565472979,0.2932,354.1903,buy,1316338489578959011,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558310
1749565471815,0.2931,336.5401,sell,1316338484696788994,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558311
1749565470999,0.2932,411.9688,buy,1316338481274236932,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558312
1749565469583,0.2932,377.4580,buy,1316338475335102466,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558313
1749565468564,0.2931,306.9078,sell,1316338471061106689,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558314
1749565467193,0.2931,410.6861,sell,1316338465310715991,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558316
1749565466681,0.2932,193.5439,buy,1316338463163232261,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558317
1749565466016,0.2932,268.0954,buy,1316338460374020280,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558318
1749565465253,0.2932,417.4461,buy,1316338457173766220,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558319
1749565463836,0.2931,355.2083,sell,1316338451230437376,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558320
1749565462567,0.2932,230.3452,buy,1316338445907865602,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558321
1749565461955,0.2932,207.5433,buy,1316338443340951636,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558322
1749565461340,0.2932,313.2905,buy,1316338440761454595,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558323
1749565460475,0.2931,277.9731,sell,1316338437133381663,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558324
1749565459059,0.2932,390.8621,buy,1316338431194247169,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558325
1749565458798,0.2931,285.2788,sell,1316338430099533825,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558326
1749565457480,0.2931,324.1857,sell,1316338424571441153,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558327
1749565457017,0.2931,82.8047,sell,1316338422629478401,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558329
1749565456301,0.2932,397.7708,buy,1316338419626356835,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558330
1749565455536,0.2932,317.7582,buy,1316338416417714179,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558331
1749565455170,0.2931,227.3654,sell,1316338414882598913,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558332
1749565453796,0.2931,491.3376,sell,1316338409119625217,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558333
1749565452981,0.2931,259.5675,sell,1316338405701267533,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558335
1749565452262,0.2932,224.3410,buy,1316338402685562881,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558336
1749565451348,0.2932,348.5317,buy,1316338398851969025,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558337
1749565450584,0.2931,233.1227,sell,1316338395647520849,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558338
1749565449719,0.2931,283.1865,sell,1316338392019447810,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558339
1749565449458,0.2931,378.7007,sell,1316338390924734466,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558340
1749565449046,0.2932,601.5785,buy,1316338389196681328,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558341
1749565448434,0.2931,366.6648,sell,1316338386629767210,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558342
1749565447973,0.2932,292.2288,buy,1316338384696193027,TRXUSDT,trade,SPOT,2025-06-10T21:24:48.558343
1749565489586,2.2876,56.6398,buy,1316338559233761313,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180679
1749565489125,2.2876,52.7970,buy,1316338557300187246,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180693
1749565488610,2.2875,30.2514,sell,1316338555140120602,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180696
1749565487794,2.2875,35.2186,sell,1316338551717568514,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180698
1749565487480,2.2876,40.7820,buy,1316338550400557057,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180700
1749565487266,2.2875,69.4277,sell,1316338549502976001,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180702
1749565486550,2.2875,37.3202,sell,1316338546499854337,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180704
1749565486122,2.2876,6.6011,buy,1316338544704692228,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180706
1749565486088,2.2876,64.9605,buy,1316338544562085889,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180708
1749565485524,2.2875,26.5440,sell,1316338542196498517,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180710
1749565485059,2.2875,35.3469,sell,1316338540246147155,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180712
1749565484444,2.2875,37.7328,sell,1316338537666650208,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180714
1749565483932,2.2876,73.5346,buy,1316338535519166466,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180715
1749565483869,2.2875,36.9860,sell,1316338535254925320,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180717
1749565483254,2.2876,35.0611,buy,1316338532675428471,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180719
1749565483093,2.2876,53.0967,buy,1316338532000145410,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180721
1749565482730,2.2875,60.6307,sell,1316338530477613121,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180723
1749565482266,2.2876,29.5684,buy,1316338528531456059,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180725
1749565481730,2.2876,0.9997,buy,1316338526283309061,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180727
1749565481701,2.2876,39.8013,buy,1316338526161674288,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180729
1749565481342,2.2875,45.7023,sell,1316338524655919148,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180731
1749565480933,2.2876,68.8652,buy,1316338522940448769,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180733
1749565480473,2.2875,38.9096,sell,1316338521011068952,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180734
1749565479857,2.2876,46.5608,buy,1316338518427377670,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180736
1749565479598,2.2875,41.3551,sell,1316338517341052929,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180738
1749565479277,2.2876,62.3215,buy,1316338515994681712,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180742
1749565478964,2.2876,20.8706,buy,1316338514681864195,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180745
1749565478901,2.2876,39.0763,buy,1316338514417623197,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180747
1749565478388,2.2876,47.2945,buy,1316338512265945089,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180749
1749565478129,2.2876,46.9192,buy,1316338511179620383,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180751
1749565477765,2.2875,43.6805,sell,1316338509652893698,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180753
1749565477603,2.2876,45.1058,buy,1316338508973416474,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180754
1749565477391,2.2876,0.6557,buy,1316338508084224030,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180756
1749565476944,2.2876,52.5922,buy,1316338506209370114,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180759
1749565476433,2.2875,53.8615,sell,1316338504066080871,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180761
1749565476072,2.2875,51.0295,sell,1316338502551937029,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180763
1749565475608,2.2875,26.5657,sell,1316338500605780020,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180765
1749565475145,2.2875,18.7576,sell,1316338498663817218,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180767
1749565474729,2.2876,42.5840,buy,1316338496918986772,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180769
1749565474118,2.2876,20.6440,buy,1316338494356267032,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180770
1749565473706,2.2876,66.9392,buy,1316338492628213762,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180772
1749565473342,2.2875,37.0025,sell,1316338491101487106,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180774
1749565472976,2.2874,510.8644,sell,1316338489566371881,XRPUSDT,trade,SPOT,2025-06-10T21:24:50.180776
